Model,Feature,Accuracy 95% CI
GPT-4o-mini (Zero-shot),HER2,"[0.877, 0.927]"
GPT-4o-mini (Zero-shot),ER,"[0.929, 0.965]"
GPT-4o-mini (Zero-shot),PR,"[0.921, 0.962]"
GPT-4o-mini (Few-shot),HER2,"[0.839, 0.894]"
GPT-4o-mini (Few-shot),ER,"[0.916, 0.956]"
GPT-4o-mini (Few-shot),PR,"[0.908, 0.952]"
GPT-4o-mini (Chain-of-Thought),HER2,"[0.887, 0.935]"
GPT-4o-mini (Chain-of-Thought),ER,"[0.935, 0.971]"
GPT-4o-mini (Chain-of-Thought),PR,"[0.929, 0.965]"
GPT-4.1-nano (Zero-shot),HER2,"[0.806, 0.869]"
GPT-4.1-nano (Zero-shot),ER,"[0.846, 0.902]"
GPT-4.1-nano (Zero-shot),PR,"[0.866, 0.919]"
GPT-4.1-nano (Few-shot),HER2,"[0.806, 0.869]"
GPT-4.1-nano (Few-shot),ER,"[0.846, 0.902]"
GPT-4.1-nano (Few-shot),PR,"[0.866, 0.919]"
GPT-4.1-nano (Chain-of-Thought),HER2,"[0.852, 0.908]"
GPT-4.1-nano (Chain-of-Thought),ER,"[0.904, 0.946]"
GPT-4.1-nano (Chain-of-Thought),PR,"[0.885, 0.933]"
GPT-5-nano (Zero-shot),HER2,"[0.894, 0.942]"
GPT-5-nano (Zero-shot),ER,"[0.929, 0.965]"
GPT-5-nano (Zero-shot),PR,"[0.919, 0.960]"
GPT-5-nano (Chain-of-Thought),HER2,"[0.891, 0.939]"
GPT-5-nano (Chain-of-Thought),ER,"[0.931, 0.967]"
GPT-5-nano (Chain-of-Thought),PR,"[0.923, 0.962]"
Gemini-2.5-flash-lite (Zero-shot),HER2,"[0.881, 0.931]"
Gemini-2.5-flash-lite (Zero-shot),ER,"[0.923, 0.962]"
Gemini-2.5-flash-lite (Zero-shot),PR,"[0.917, 0.958]"
Gemini-2.5-flash-lite (Few-shot),HER2,"[0.893, 0.940]"
Gemini-2.5-flash-lite (Few-shot),ER,"[0.921, 0.960]"
Gemini-2.5-flash-lite (Few-shot),PR,"[0.923, 0.962]"
Gemini-2.5-flash-lite (Chain-of-Thought),HER2,"[0.896, 0.942]"
Gemini-2.5-flash-lite (Chain-of-Thought),ER,"[0.933, 0.969]"
Gemini-2.5-flash-lite (Chain-of-Thought),PR,"[0.935, 0.969]"
